,MAC,timestamp,rssi,label,gateway
68,AC233FE05DF6,2022-01-10T14:44:30.677Z,-49.0,pc,AC233FC0C817
69,AC233F8C7BCC,2022-01-10T14:44:30.904Z,-67.0,pc,AC233FC0C810
70,AC233FE05DF6,2022-01-10T14:44:30.679Z,-62.0,pc,AC233FC0C810
71,AC233F8C7BCC,2022-01-10T14:44:31.208Z,-62.0,pc,AC233FC0C80F
72,AC233FE05DF6,2022-01-10T14:44:31.286Z,-57.0,pc,AC233FC0C80F
73,AC233FAA9BB3,2022-01-10T14:44:31.361Z,-54.0,pc,AC233FC0C80F
74,AC233FE05DFB,2022-01-10T14:44:31.462Z,-48.0,pc,AC233FC0C80F
75,AC233F8C7BCC,2022-01-10T14:44:31.206Z,-55.0,pc,AC233FC0C817
76,AC233FE05DF6,2022-01-10T14:44:31.287Z,-33.0,pc,AC233FC0C817
77,AC233F8C7BCC,2022-01-10T14:44:31.509Z,-70.0,pc,AC233FC0C810
78,AC233F8C7BCF,2022-01-10T14:44:31.537Z,-43.0,pc,AC233FC0C810
79,AC233FE05DF6,2022-01-10T14:44:31.601Z,-47.0,pc,AC233FC0C810
80,AC233FE05DFB,2022-01-10T14:44:31.456Z,-44.0,pc,AC233FC0C810
81,AC233FE05E05,2022-01-10T14:44:31.516Z,-39.0,pc,AC233FC0C810
82,AC233F8C7BCC,2022-01-10T14:44:31.508Z,-67.0,pc,AC233FC0C80F
83,AC233FE05E05,2022-01-10T14:44:31.514Z,-50.0,pc,AC233FC0C80F
84,AC233F8C7BCF,2022-01-10T14:44:31.529Z,-50.0,pc,AC233FC0C80F
85,AC233FE05DF6,2022-01-10T14:44:31.602Z,-58.0,pc,AC233FC0C80F
86,AC233F8C7BCC,2022-01-10T14:44:31.811Z,-63.0,pc,AC233FC0C80F
87,4E7ED43BA008,2022-01-10T14:44:31.981Z,-78.0,pc,AC233FC0C817
88,AC233F8C7BCC,2022-01-10T14:44:31.811Z,-61.0,pc,AC233FC0C817
89,AC233F8C7BCF,2022-01-10T14:44:31.524Z,-42.0,pc,AC233FC0C817
90,AC233FE05DF6,2022-01-10T14:44:31.602Z,-48.0,pc,AC233FC0C817
91,AC233FE05E05,2022-01-10T14:44:31.514Z,-34.0,pc,AC233FC0C817
92,AC233F8C7BCC,2022-01-10T14:44:31.810Z,-65.0,pc,AC233FC0C810
93,AC233FE05DF6,2022-01-10T14:44:32.209Z,-41.0,pc,AC233FC0C80F
94,AC233FAA9BB3,2022-01-10T14:44:32.267Z,-44.0,pc,AC233FC0C80F
95,AC233FE05DFB,2022-01-10T14:44:32.357Z,-47.0,pc,AC233FC0C80F
96,AC233F8C7BCC,2022-01-10T14:44:32.415Z,-62.0,pc,AC233FC0C80F
97,AC233FE05E05,2022-01-10T14:44:32.427Z,-41.0,pc,AC233FC0C80F
98,4E7ED43BA008,2022-01-10T14:44:32.463Z,-78.0,pc,AC233FC0C817
99,AC233F8C7BCC,2022-01-10T14:44:32.418Z,-58.0,pc,AC233FC0C817
100,AC233FAA9BB3,2022-01-10T14:44:32.272Z,-39.0,pc,AC233FC0C817
101,AC233FE05DFB,2022-01-10T14:44:32.360Z,-50.0,pc,AC233FC0C817
102,AC233FE05E05,2022-01-10T14:44:32.428Z,-34.0,pc,AC233FC0C817
103,AC233F8C7BCC,2022-01-10T14:44:32.417Z,-62.0,pc,AC233FC0C810
104,AC233FAA9BB3,2022-01-10T14:44:32.269Z,-50.0,pc,AC233FC0C810
105,AC233FE05DF6,2022-01-10T14:44:32.520Z,-49.0,pc,AC233FC0C810
106,AC233FE05DFB,2022-01-10T14:44:32.359Z,-48.0,pc,AC233FC0C810
107,AC233FE05E05,2022-01-10T14:44:32.428Z,-45.0,pc,AC233FC0C810
108,AC233FE05DF6,2022-01-10T14:44:32.517Z,-56.0,pc,AC233FC0C80F
109,AC233F8C7BCC,2022-01-10T14:44:32.711Z,-55.0,pc,AC233FC0C80F
110,4E7ED43BA008,2022-01-10T14:44:32.947Z,-78.0,pc,AC233FC0C817
111,AC233F8C7BCC,2022-01-10T14:44:32.720Z,-58.0,pc,AC233FC0C817
112,AC233FE05DF6,2022-01-10T14:44:32.520Z,-45.0,pc,AC233FC0C817
113,AC233F8C7BCC,2022-01-10T14:44:33.016Z,-59.0,pc,AC233FC0C810
114,AC233FAA9BB3,2022-01-10T14:44:33.168Z,-42.0,pc,AC233FC0C810
115,AC233FE05DF6,2022-01-10T14:44:33.134Z,-64.0,pc,AC233FC0C810
116,AC233F8C7BCC,2022-01-10T14:44:33.011Z,-62.0,pc,AC233FC0C80F
117,AC233FE05DF6,2022-01-10T14:44:33.135Z,-52.0,pc,AC233FC0C80F
118,AC233FAA9BB3,2022-01-10T14:44:33.171Z,-46.0,pc,AC233FC0C80F
119,AC233FE05E05,2022-01-10T14:44:33.336Z,-51.0,pc,AC233FC0C80F
120,AC233F8C7BCF,2022-01-10T14:44:33.348Z,-49.0,pc,AC233FC0C80F
121,AC233F8C7BCF,2022-01-10T18:46:38.982Z,-51.0,pc,AC233FC0C80F
122,AC233F8C7BCC,2022-01-10T18:46:39.083Z,-48.0,pc,AC233FC0C80F
123,AC233FE05DFB,2022-01-10T18:46:39.089Z,-54.0,pc,AC233FC0C80F
124,AC233FE05DF6,2022-01-10T18:46:39.241Z,-64.0,pc,AC233FC0C80F
