,MAC,timestamp,rssi,label,gateway
207,AC233FE05DF6,2022-01-06T20:21:43.300Z,-46,sala,AC233FC0C810
208,AC233F8C7BCC,2022-01-06T20:21:44.701Z,-42,sala,AC233FC0C810
209,AC233FE05DF6,2022-01-06T20:21:45.127Z,-44,sala,AC233FC0C810
210,AC233F8C7BCC,2022-01-06T20:21:46.515Z,-45,sala,AC233FC0C810
211,AC233FE05DF6,2022-01-06T20:21:46.037Z,-46,sala,AC233FC0C810
212,AC233F8C7BCC,2022-01-06T20:21:49.239Z,-43,sala,AC233FC0C810
213,AC233FE05DF6,2022-01-06T20:21:48.774Z,-50,sala,AC233FC0C810
214,AC233FE05DF6,2022-01-06T20:21:49.687Z,-48,sala,AC233FC0C810
215,AC233F8C7BCC,2022-01-06T20:21:52.864Z,-50,sala,AC233FC0C810
216,AC233FE05DF6,2022-01-06T20:21:53.322Z,-64,sala,AC233FC0C810
217,AC233F8C7BCC,2022-01-06T20:48:12.838Z,-59,sala,AC233FC0C810
218,AC233FE05DF6,2022-01-06T20:48:12.918Z,-47,sala,AC233FC0C810
219,AC233F8C7BCC,2022-01-06T20:48:15.550Z,-46,sala,AC233FC0C810
220,AC233FE05DF6,2022-01-06T20:48:14.731Z,-45,sala,AC233FC0C810
221,AC233F8C7BCC,2022-01-06T20:48:17.367Z,-45,sala,AC233FC0C810
222,AC233FE05DF6,2022-01-06T20:48:17.466Z,-43,sala,AC233FC0C810
223,AC233F8C7BCC,2022-01-06T20:48:19.187Z,-45,sala,AC233FC0C810
224,AC233FE05DF6,2022-01-06T20:48:19.293Z,-42,sala,AC233FC0C810
225,AC233F8C7BCC,2022-01-06T20:48:20.996Z,-47,sala,AC233FC0C810
226,AC233FE05DF6,2022-01-06T20:48:21.107Z,-48,sala,AC233FC0C810
227,AC233F8C7BCC,2022-01-06T20:48:22.813Z,-49,sala,AC233FC0C810
228,AC233FE05DF6,2022-01-06T20:48:22.928Z,-54,sala,AC233FC0C810
229,AC233F8C7BCC,2022-01-06T20:48:25.530Z,-55,sala,AC233FC0C810
230,AC233FE05DF6,2022-01-06T20:48:25.670Z,-51,sala,AC233FC0C810
231,AC233F8C7BCC,2022-01-06T20:48:27.354Z,-67,sala,AC233FC0C810
232,AC233FE05DF6,2022-01-06T20:48:27.506Z,-48,sala,AC233FC0C810
