,MAC,timestamp,rssi,label,gateway
381,AC233F8C7BCC,2022-01-07T16:03:46.498Z,-49.0,sala,AC233FC0C810
382,AC233F8C7BCC,2022-01-07T16:03:47.393Z,-49.0,sala,AC233FC0C810
383,AC233FE05DF6,2022-01-07T16:03:47.192Z,-29.0,sala,AC233FC0C810
384,AC233FE05DF6,2022-01-07T16:03:48.102Z,-30.0,sala,AC233FC0C810
385,AC233F8C7BCC,2022-01-07T16:03:49.206Z,-38.0,sala,AC233FC0C810
386,AC233FE05DF6,2022-01-07T16:03:49.013Z,-29.0,sala,AC233FC0C810
387,AC233FE05DF6,2022-01-07T16:03:50.840Z,-29.0,sala,AC233FC0C810
388,AC233F8C7BCC,2022-01-07T16:03:51.024Z,-39.0,sala,AC233FC0C810
389,AC233FE05DF6,2022-01-07T16:03:51.749Z,-29.0,sala,AC233FC0C810
390,AC233F8C7BCC,2022-01-07T16:03:52.836Z,-40.0,sala,AC233FC0C810
391,AC233FE05DF6,2022-01-07T16:03:52.652Z,-29.0,sala,AC233FC0C810
392,AC233F8C7BCC,2022-01-07T16:03:53.745Z,-44.0,sala,AC233FC0C810
393,AC233FE05DF6,2022-01-07T16:03:54.480Z,-28.0,sala,AC233FC0C810
394,AC233F8C7BCC,2022-01-07T16:03:55.563Z,-44.0,sala,AC233FC0C810
395,AC233FE05DF6,2022-01-07T16:03:55.390Z,-28.0,sala,AC233FC0C810
396,AC233F8C7BCC,2022-01-07T16:03:56.461Z,-44.0,sala,AC233FC0C810
397,AC233F8C7BCC,2022-01-07T16:03:58.276Z,-44.0,sala,AC233FC0C810
398,AC233FE05DF6,2022-01-07T16:03:58.124Z,-28.0,sala,AC233FC0C810
399,AC233F8C7BCC,2022-01-07T16:03:59.185Z,-49.0,sala,AC233FC0C810
400,AC233FE05DF6,2022-01-07T16:03:59.038Z,-30.0,sala,AC233FC0C810
401,AC233F8C7BCC,2022-01-07T16:04:00.091Z,-49.0,sala,AC233FC0C810
402,AC233FE05DF6,2022-01-07T16:04:00.859Z,-29.0,sala,AC233FC0C810
403,AC233F8C7BCC,2022-01-07T16:04:00.996Z,-49.0,sala,AC233FC0C810
404,AC233FE05DF6,2022-01-07T16:04:01.764Z,-29.0,sala,AC233FC0C810
405,AC233F8C7BCC,2022-01-07T16:04:02.814Z,-49.0,sala,AC233FC0C810
406,AC233F8C7BCC,2022-01-07T16:04:04.627Z,-40.0,sala,AC233FC0C810
407,AC233FE05DF6,2022-01-07T16:04:04.508Z,-29.0,sala,AC233FC0C810
408,AC233FE05DF6,2022-01-07T16:04:05.411Z,-29.0,sala,AC233FC0C810
409,AC233F8C7BCC,2022-01-07T16:04:06.441Z,-39.0,sala,AC233FC0C810
410,AC233FE05DF6,2022-01-07T16:04:06.321Z,-29.0,sala,AC233FC0C810
411,AC233F8C7BCC,2022-01-07T16:04:08.253Z,-39.0,sala,AC233FC0C810
412,AC233FE05DF6,2022-01-07T16:04:08.141Z,-29.0,sala,AC233FC0C810
413,AC233F8C7BCC,2022-01-07T16:04:09.164Z,-44.0,sala,AC233FC0C810
414,AC233FE05DF6,2022-01-07T16:04:09.055Z,-28.0,sala,AC233FC0C810
415,AC233F8C7BCC,2022-01-07T16:04:10.070Z,-44.0,sala,AC233FC0C810
416,AC233FE05DF6,2022-01-07T16:04:10.874Z,-28.0,sala,AC233FC0C810
